id,class test 1,class test 2,lab,assignment,exam
1217613,6,0.0,0.0,10.5,11.5
1286193,13.5,13.0,20.0,15.0,29.0
1190749,12.75,7.0,20.0,15.0,25.0
1112376,14.25,9.0,15.0,15.0,30.0
1253227,9,8.0,14.0,10.5,24.0
1104245,11.25,9.0,8.0,13.5,29.5
1263620,9,9.0,15.0,13.5,17.5
1154163,13.5,8.0,20.0,13.5,24.5
1271089,13.5,11.0,20.0,15.0,25.0
1279083,14.25,11.8,0.0,4.5,27.5
1181614,9,8.0,20.0,7.5,16.5
1117265,7.5,10.0,9.0,10.4,18.5
1170228,13.5,11.0,15.0,14.7,28.5
1294874,7.5,9.0,15.0,13.5,20.5
1149259,10.5,11.0,15.0,15.0,27.5
1253236,8.25,7.0,14.0,7.4,14.0
1161673,10.5,7.0,14.0,13.5,16.5
1117457,13.5,10.0,20.0,10.5,19.0
1222750,9.75,8.0,6.0,15.0,23.5
1116633,11.25,10.0,20.0,13.2,20.5
1250076,9.75,7.0,20.0,13.5,21.5
1214379,5.25,9.0,13.0,13.5,16.5
1212457,13.5,10.0,7.0,15.0,28.0
1122930,10.5,11.0,9.0,15.0,11.5
1224010,9.75,12.0,11.0,14.9,17.5
1145749,10.5,9.0,14.0,13.1,21.0
1221015,7.5,7.0,12.0,10.4,15.5
1181283,12.75,9.0,20.0,10.5,24.5
1212126,9.75,7.0,4.0,13.5,17.0
1117520,12,8.0,20.0,14.9,21.0
1282570,7.5,6.0,13.0,10.2,14.0
1238599,11.25,11.0,7.0,13.5,23.5
1168923,12,11.0,12.0,9.0,19.5
1123822,9.75,6.0,12.0,8.9,14.5
1165630,11.25,6.0,14.0,10.4,20.0
1144921,9,10.0,15.0,13.5,16.5
1186905,11.25,10.0,17.0,12.0,17.0
1120811,10.5,9.0,15.0,13.5,25.5
1176676,9,8.0,0.0,11.6,17.0
1154953,13.5,12.0,20.0,15.0,30.0
1146588,14.25,10.0,20.0,15.0,30.5
1112848,12.75,8.0,14.0,15.0,23.5
1235322,12.75,10.0,20.0,14.9,19.5
1106359,11.25,8.0,20.0,13.5,25.5
1297410,14.25,13.0,7.0,15.0,34.5
1185064,12,13.0,11.0,13.5,27.0
1281590,7.5,10.0,15.0,8.7,18.5
1242112,9,9.0,12.0,13.5,16.5
1289625,12.75,14.0,20.0,15.0,23.0
1239920,6.75,6.0,10.0,13.5,13.0
1232602,6,0.0,0.0,4.5,0.0
1119346,12.75,10.0,12.0,14.7,27.0
1246167,11.25,9.0,4.0,12.0,20.0
1259440,3,8.0,5.0,3.3,14.5
1210278,7.5,9.0,6.0,12.6,15.0
1201242,12,12.0,12.0,15.0,25.5
1237102,12.75,10.0,6.0,15.0,28.5
1230451,14.25,11.0,15.0,15.0,32.0
1265788,13.5,13.0,20.0,13.2,32.0
1243716,13.5,12.0,20.0,13.5,35.0
1271293,14.25,15.0,20.0,15.0,33.0
1169044,14.25,12.0,14.0,14.9,30.0
1205722,11.25,11.0,15.0,14.9,29.0
1132112,11.25,10.0,20.0,15.0,21.0
1125062,9.75,8.0,12.0,15.0,15.5
1120257,0,0.0,0.0,10.5,0.0
1214884,8.25,9.0,15.0,10.4,20.0
1118977,7.5,8.0,20.0,15.0,11.0
1164520,10.5,8.0,12.0,14.7,27.0
1166561,12.75,9.0,20.0,15.0,21.5
1147829,12,13.5,20.0,13.5,31.5
1177317,12.75,9.0,15.0,10.5,21.0
1157075,9,8.0,9.0,15.0,19.0
1258475,5.25,8.0,6.0,2.3,18.0
1283569,13.5,12.0,20.0,15.0,27.0
1252298,6,7.0,1.0,15.0,18.0
1259799,10.5,7.0,18.0,8.9,11.5
1112158,12.75,9.0,20.0,13.5,24.5
1132834,12.75,10.0,9.0,13.5,24.5
1292195,11.25,13.0,20.0,13.5,23.5
1271878,9.75,10.0,14.0,9.0,13.5
1138427,9,10.0,20.0,12.0,23.5
1105038,12,11.0,19.0,13.5,18.5
1196674,7.5,9.0,17.0,13.5,25.0
1197018,12.75,10.0,20.0,15.0,27.0
1118354,12.75,13.0,14.0,13.5,34.0
1261788,13.5,10.0,20.0,14.7,29.5
1292499,9,0.0,6.0,8.7,26.0
1211230,9.75,13.0,20.0,14.9,27.5
1155080,13.5,9.0,20.0,13.5,18.5
1156546,12,9.0,15.0,12.0,29.5
1104145,11.25,11.0,9.0,14.3,20.0
1284676,9.75,9.0,14.0,12.0,22.0
1100693,6.75,10.0,15.0,10.5,11.5
1176304,12.75,9.0,8.0,15.0,26.0
1187872,10.5,11.0,15.0,13.5,24.5
1257354,10.5,9.0,6.0,9.0,19.5
1149972,7.5,8.0,6.0,15.0,15.5
1277390,14.25,12.0,20.0,14.7,24.5
1199580,12.75,0.0,20.0,14.9,33.0
1134351,12.75,13.0,15.0,14.9,25.0
1277705,9.75,11.0,13.0,15.0,21.0
1266137,12,10.0,14.0,12.0,18.0
1122850,12.75,13.0,20.0,15.0,35.0
1143770,13.5,9.0,15.0,13.5,19.5
1149303,14.25,12.0,20.0,14.7,24.5
1172569,6.75,10.0,15.0,10.5,11.5
