id,class test 1,class test 2,exam
1454411,15.4,5.9,43.9
1361407,18.6,12.3,64.5
1351827,16.0,14.0,67.1
1336649,20.0,15.9,73.5
1331047,18.3,11.0,37.3
1316400,17.1,12.0,48.2
1370900,14.6,16.7,73.7
1359004,15.4,18.3,64.9
1333375,14.9,0.0,17.1
1396451,17.6,13.7,83.3
1452912,17.7,2.6,21.5
1323080,17.4,14.4,55.3
1340680,14.3,10.2,33.8
1398011,15.7,16.0,39.0
1337420,10.0,6.8,30.3
1464819,12.7,10.7,40.4
1360434,15.7,17.2,64.9
1492029,13.4,8.4,44.3
1314877,15.1,8.7,45.6
1482216,10.6,6.8,50.9
1364299,16.6,12.3,68.9
1356891,14.0,8.1,46.9
1350890,12.3,10.0,41.2
1344103,18.0,8.4,47.8
1395607,19.1,19.0,92.5
1464585,12.0,11.6,40.8
1375429,14.3,5.1,42.5
1416532,16.0,12.7,24.1
1425662,0.0,8.4,42.1
1371007,18.6,14.2,49.6
1316589,16.0,15.0,43.4
1451763,18.6,16.5,67.5
1460098,12.9,8.6,31.6
1341101,15.1,11.7,54.4
1369313,19.6,15.6,68.0
1347121,18.9,14.1,61.8
1462432,14.4,6.7,28.9
1448689,10.0,7.9,23.2
1314574,5.4,0.0,12.3
1362471,15.3,7.4,54.8
1316753,12.0,7.7,44.3
1366278,10.7,6.5,27.6
1318471,18.9,13.5,46.5
1469410,15.1,5.2,37.7
1358050,18.0,14.5,38.6
1492577,19.1,18.4,81.6
1439787,11.1,5.5,22.8
1490897,16.3,8.2,49.1
1407734,19.1,8.9,71.5
1456049,18.3,16.0,61.8
1486905,10.9,9.3,44.3
1410962,17.7,10.9,52.6
1362417,15.7,8.1,44.7
1407688,18.3,15.7,62.3
1435852,13.1,6.2,26.3
1422599,18.0,12.3,71.1
1472760,18.0,13.2,57.9
1385520,15.7,6.7,33.3
1455630,19.4,17.5,81.1
1302790,13.1,7.8,32.5
1330514,16.0,8.3,52.2
1431874,9.4,5.3,26.3
1385208,18.9,14.1,61.0
1384067,18.7,13.9,75.4
1440606,11.7,14.7,37.7
1347858,17.4,11.9,64.9
1323100,15.4,7.5,21.5
1309238,16.6,9.3,57.0
1458787,12.3,11.8,46.5
1403213,12.0,10.2,48.7
1491251,13.0,11.4,44.7
1309801,16.0,0.0,0.0
1382600,13.1,4.7,36.0
1354219,16.6,15.5,49.1
1491108,12.9,5.0,31.1
1330232,11.4,6.4,27.6
1458577,14.0,7.2,36.0
1313559,18.6,13.7,54.8
1454680,13.1,7.4,38.6
1361871,14.9,13.6,68.4
1383274,17.4,14.5,64.0
1322292,11.1,8.9,57.0
1368132,14.3,8.4,28.9
1467931,14.9,5.8,46.9
1418800,19.1,15.4,53.1
1300358,18.3,8.2,63.6
1466901,16.0,9.1,46.5
1499260,12.3,8.8,39.6
1454945,14.6,8.8,30.7
1320460,15.1,5.5,49.1
1396683,13.4,10.7,40.4
1332591,12.6,0.0,67.1
1332333,17.3,14.4,50.9
1462512,9.4,0.0,0.0
1303329,13.6,12.8,61.0
1359908,14.6,15.0,51.3
1359946,11.7,6.4,52.2
1332240,15.9,17.1,72.8
1488888,13.4,8.9,53.1
1476362,12.6,9.1,55.3
1404028,13.0,8.2,39.9
1432316,15.3,11.9,48.7
1471704,18.1,10.6,50.4
1497639,18.6,18.4,78.9
1383831,15.1,3.3,16.7
1352641,7.1,7.4,62.7
1467321,17.7,13.6,67.1
1459403,16.0,14.4,68.4
1419253,17.1,8.2,48.2
1427182,15.3,6.4,54.4
1488156,16.6,11.5,55.7
1447340,13.1,11.3,71.1
1359229,15.4,12.1,76.5
1398376,17.4,14.3,75.9
1348428,16.6,12.1,60.5
1359194,15.1,12.3,25.0
1371984,9.1,5.3,29.4
1331184,10.0,10.2,44.3
1414315,16.6,8.6,41.2
1459041,9.6,8.4,28.5
1439233,13.1,4.6,23.2
1364390,16.9,10.9,31.6
1351863,12.4,15.6,61.8
1369628,16.1,6.8,38.2
1344783,17.7,13.4,53.1
1487676,15.1,12.3,31.6
1484028,12.3,8.7,33.3
1413004,0.0,0.0,53.5
1357026,9.6,7.1,35.5
1379330,10.6,8.2,34.2
1406318,13.9,5.2,30.3
1463491,16.0,14.8,55.7
1464971,12.0,7.9,20.2
1441058,11.3,5.8,40.8
1451376,16.6,16.7,71.1
1425097,14.0,8.3,28.5
1417634,19.9,11.9,70.2
1321779,16.9,13.5,57.5
1460336,15.7,11.4,17.5
1362931,16.9,13.5,61.4
1468466,15.7,7.8,58.8
1433269,18.3,18.0,80.3
1466476,18.9,13.0,65.8
1309833,16.0,11.6,43.0
1332670,18.9,14.8,74.6
1459074,19.1,14.0,50.0
1336723,17.3,15.3,58.8
1374257,16.9,7.7,45.6
1381513,14.0,14.2,28.5
1369551,12.3,3.2,18.9
1425897,15.1,7.3,12.7
1422908,16.0,11.8,44.7
1461455,14.0,9.6,44.7
1304982,15.4,8.8,26.8
1413505,15.4,9.0,50.4
1464882,14.3,5.0,54.8
1352712,16.3,7.5,51.3
1477681,8.4,6.9,38.6
1317725,9.7,5.9,32.0
1408516,18.9,17.5,79.8
1388389,18.1,11.1,58.8
1483739,16.0,5.2,43.9
1365822,15.4,12.4,45.2
1354503,16.0,13.3,53.1
1362912,8.6,18.9,27.6
1391752,14.3,8.3,36.4
1344145,17.7,10.1,58.3
1327361,0.0,0.0,8.3
1407582,16.9,11.7,43.4
1347859,15.1,13.2,64.5
1404871,17.4,14.0,61.8
1353682,11.9,12.5,46.1
1481808,15.0,12.6,75.0
1411869,13.4,11.3,50.9
1460263,17.1,9.1,57.9
1409766,17.1,14.5,62.3
1469143,17.1,13.9,53.1
1432262,12.9,4.7,45.2
1477155,18.9,16.3,64.0
1420408,19.7,18.8,56.6
1409652,10.6,7.2,19.7
1446761,17.7,14.4,76.3
1300389,18.3,10.2,56.1
1432249,18.1,15.3,63.2
1361162,19.4,19.1,75.0
1309294,16.6,9.8,51.8
1313962,17.3,17.2,19.3
1410405,17.4,8.5,35.1
1338423,18.7,11.8,55.3
1346778,13.4,7.4,33.3
1376553,18.0,15.7,59.6
1480964,7.6,2.8,20.2
1319538,13.4,7.5,43.0
1499527,14.3,11.2,39.0
1400806,16.0,18.1,75.4
1383975,8.7,5.8,28.1
1479146,9.1,5.5,21.9
1335618,15.1,15.2,71.1
1316805,16.6,11.8,59.2
1364790,17.1,11.3,38.6
1455983,12.3,5.9,30.3
1451162,16.6,13.0,63.6
1314481,12.6,9.6,49.6
1463630,10.9,9.7,23.2
1430510,14.6,15.7,16.2
1374630,17.4,10.9,55.3
1441687,16.0,14.4,64.0
1486195,19.6,18.4,67.5
1320344,13.4,10.2,32.5
1367915,16.3,15.2,55.3
1369248,12.3,11.3,51.3
1499589,19.1,15.3,79.8
1452153,19.4,14.5,53.9
1320332,16.6,0.0,67.1
1413243,16.6,8.7,39.9
1388304,14.0,12.7,44.7
1452449,16.0,10.1,34.2
1334496,3.7,0.0,28.1
1435562,14.9,9.5,24.6
1363480,17.9,9.0,51.3
1343233,16.6,9.1,43.9
