id,class test 1,class test 2,exam
702696,85.5,89.0,81.5
764138,70.0,96.0,74.5
757100,84.0,90.0,82.0
831851,74.0,66.0,72.0
851935,32.0,18.0,32.0
718548,81.0,85.0,85.5
739390,90.0,100.0,100.0
742159,89.5,96.0,86.0
742760,69.5,84.0,84.0
898978,59.5,0.0,0.0
872966,76.5,95.0,81.0
815581,53.5,70.0,75.0
739479,43.0,51.0,57.0
721373,49.0,57.0,51.5
809398,76.5,52.0,86.0
839515,79.0,92.0,81.5
752097,29.0,67.0,65.5
817477,72.0,76.0,76.5
758519,74.5,84.0,72.5
872474,47.0,76.0,62.5
876064,79.0,66.0,61.0
818368,94.0,68.0,87.5
799164,96.0,97.0,95.0
702998,43.0,65.0,48.5
803277,93.0,100.0,88.0
779539,57.0,73.0,63.0
877147,17.0,83.0,54.0
782734,45.0,34.0,44.0
766220,53.5,51.0,59.0
754312,84.5,74.0,80.0
815253,78.0,69.0,73.5
891460,59.5,73.0,50.5
852306,28.5,79.0,78.0
858618,80.5,86.0,71.5
739591,77.0,92.0,77.5
866211,77.5,90.0,71.0
763363,29.5,50.0,27.5
802449,89.0,74.0,93.0
856563,71.0,82.0,78.0
718921,66.5,63.0,60.5
877217,68.0,92.0,60.5
711724,49.5,74.0,73.0
827890,49.0,66.0,58.0
876762,49.5,76.0,72.5
789162,37.5,57.0,42.5
896456,70.0,80.0,70.5
819370,17.0,15.0,23.5
873397,21.5,42.0,47.0
775975,78.0,49.0,54.0
847162,39.5,34.0,61.0
896104,90.0,96.0,88.0
769741,51.5,65.0,59.5
768884,31.5,30.0,32.0
713390,68.0,44.0,62.0
745091,49.5,61.0,64.5
771512,46.5,84.0,71.0
820362,61.5,59.0,69.0
847322,65.0,98.0,78.0
847178,83.0,96.0,71.0
767380,53.5,48.0,48.0
861249,81.0,69.0,68.0
777698,35.0,72.0,73.0
887171,88.0,78.0,90.0
878710,88.5,90.0,72.5
761685,81.0,89.0,83.0
834609,74.0,72.0,53.5
739134,63.0,75.0,68.0
735374,79.0,84.0,74.0
843550,91.0,79.0,61.0
848486,55.0,81.0,58.0
826065,68.5,80.0,73.5
753626,82.0,98.0,75.0
781430,84.0,95.0,60.0
705635,93.0,98.0,87.0
722183,48.0,55.0,52.0
750525,62.5,89.0,63.5
767476,54.5,32.0,44.5
836111,53.0,76.0,47.5
710148,59.5,44.0,44.5
857827,57.5,60.0,38.0
703338,32.5,26.0,23.5
884028,83.0,93.0,64.5
810220,69.5,48.0,61.0
704005,48.5,92.0,51.5
801900,78.0,71.0,57.5
787171,76.0,64.0,63.5
884625,79.0,92.0,74.5
806711,70.5,80.0,64.0
860832,73.5,86.0,0.0
894726,54.5,55.0,55.0
738238,41.0,75.0,62.0
855371,80.0,76.0,71.5
729203,55.0,77.0,44.5
864261,49.5,75.0,83.0
741993,77.5,95.0,75.0
885380,39.0,0.0,33.0
850502,46.5,36.0,52.0
889042,19.0,85.0,67.0
853325,75.0,85.0,80.5
773366,83.0,69.0,67.0
821586,33.5,0.0,0.0
859457,0.0,0.0,8.0
751589,32.5,77.0,44.5
733426,52.0,49.0,70.5
820768,80.0,62.0,79.5
880592,75.5,87.0,85.5
800981,94.5,88.0,68.5
820006,80.0,76.0,92.0
878485,27.0,0.0,27.0
848255,71.0,58.0,78.0
701070,60.5,98.0,89.5
834907,83.0,92.0,61.0
737467,84.0,61.0,100.0
881174,74.5,81.0,59.0
776010,69.0,84.0,84.5
823653,79.0,64.0,63.5
775789,27.5,62.0,70.0
765766,43.5,62.0,65.5
762257,97.0,0.0,99.0
857683,73.0,81.0,58.0
700166,66.5,78.0,53.0
792875,25.0,0.0,16.0
818801,77.0,71.0,65.0
801622,70.0,96.0,61.5
710618,70.0,59.5,59.5
750754,91.5,90.0,95.0
799227,75.5,82.0,79.5
774736,66.0,77.0,71.0
810265,99.0,84.0,84.0
728799,68.5,67.0,64.5
