id;class test 1;lab test 1;class test 2;lab test 2;class participation;lab exam;written
1531401;25,5;16;17,0;56,3;59,3;47,5;30,0
1519691;22,0;23,3;16,0;55,0;75,9;47,5;20,0
1636382;37,5;60;25,5;85,0;73,9;100,0;43,0
1556861;0,0;0;0,0;0,0;0,0;0,0;
1670940;28,0;88;28,5;75,0;95,6;47,5;26,0
1600119;36,0;30;24,5;75,0;65,1;47,5;27,0
1654757;43,5;100;35,5;90,0;67,0;85,0;45,5
1652770;26,5;14;19,5;85,0;93,3;90,0;38,0
1607607;11,5;10;7,0;0,0;39,8;30,0;12,0
1506954;27,5;80;10,0;82,5;99,3;47,5;14,5
1520674;38,0;80;28,0;90,0;63,9;80,0;37,0
1589882;39,0;80;38,5;98,8;77,5;95,0;35,5
1510612;28,0;18;17,0;75,0;99,3;70,0;30,0
1502628;24,5;10;12,0;0,0;44,2;30,0;17,0
1517913;28,0;30;15,0;55,0;70,8;27,5;25,0
1665985;31,0;68;19,0;40,0;68,7;85,0;33,0
1644297;23,0;30;16,0;70,0;67,7;37,5;20,0
1570734;24,5;60;0,0;0,0;3,8;0,0;7,5
1630763;24,0;10;19,0;52,5;95,9;85,0;35,5
1529787;28,0;14;23,5;45,0;40,7;27,5;19,5
1588383;36,5;36;31,0;40,0;77,8;62,5;36,0
1503829;39,5;50;33,0;72,5;95,5;95,0;37,5
1514380;26,5;0;7,5;78,8;57,7;47,5;18,5
1578387;31,5;33;26,5;78,8;67,0;67,5;33,0
1645166;37,5;72;27,5;100,0;91,7;90,0;38,5
1512362;29,0;10;18,5;75,0;85,4;60,0;34,0
1645334;32,5;48;27,0;77,5;79,3;95,0;32,0
1548814;25,0;30;17,5;35,0;70,6;65,0;24,0
1613999;13,0;0;0,0;;33,4;0,0;8,5
1662626;35,5;0;0,0;0,0;5,2;0,0;
1632750;27,0;46;22,5;75,0;57,9;30,0;20,0
1568400;31,5;96;29,5;100,0;95,2;100,0;29,0
1613163;38,5;48;26,0;101,3;98,5;100,0;33,5
1686186;25,0;30;15,5;0,0;16,9;25,0;16,0
1689574;27,5;10;21,5;32,5;80,8;40,0;22,5
1553646;36,5;10;16,5;30,0;55,2;45,0;14,5
1559240;38,5;80;30,5;100,0;64,1;100,0;39,0
1602566;43,0;76;29,5;100,0;96,7;100,0;42,5
1581633;18,5;0;0,0;0,0;3,5;0,0;
1673529;28,0;30;26,0;90,0;96,0;80,0;42,5
1688985;14,0;0;19,0;37,5;92,2;47,5;25,0
1631352;15,5;18;17,5;40,0;56,4;25,0;17,5
1654212;36,5;96;40,0;105,0;100,8;100,0;50,5
1550455;34,0;48;17,0;90,0;63,3;40,0;24,0
1616136;27,0;30;21,0;90,0;91,1;85,0;34,5
1560976;26,5;30;8,0;25,0;44,4;10,0;15,0
1666645;23,5;10;18,0;26,3;28,7;47,5;27,0
1543644;32,5;80;30,0;100,0;87,5;95,0;46,5
1579175;26,0;34;15,5;12,5;67,8;70,0;32,0
1666073;28,5;16;19,5;75,0;67,8;85,0;24,0
1509106;0,0;0;0,0;0,0;0,0;0,0;
1641464;30,0;10;21,0;75,0;88,6;80,0;29,0
1534640;32,0;14;19,5;78,8;66,0;80,0;36,0
1615553;30,5;30;19,5;45,0;4,9;57,5;37,5
1575078;29,0;18;15,5;25,0;39,6;37,5;35,0
1609149;19,0;10;10,0;35,0;67,2;57,5;18,0
1623920;34,0;80;15,0;97,5;95,0;55,0;18,0
1680148;32,5;70;28,0;82,5;98,5;95,0;33,5
1610642;36,5;30;21,5;92,5;92,3;85,0;29,0
1526250;24,5;30;16,5;35,0;88,5;60,0;27,5
1628890;31,5;56;21,0;37,5;42,7;30,0;24,5
1665930;16,5;0;6,5;0,0;29,4;0,0;13,0
1644926;33,5;48;27,0;93,8;34,3;82,5;32,5
1579289;33,5;96;34,0;100,0;76,0;100,0;47,5
1575506;22,5;18;22,5;55,0;66,5;67,5;34,5
1585985;35,0;30;35,5;90,0;99,1;95,0;42,0
1624043;40,5;96;39,5;101,3;71,3;100,0;48,5
1579573;21,0;60;24,5;78,8;90,1;80,0;25,0
1518975;33,5;60;36,5;100,0;78,4;85,0;39,0
1604132;38,0;74;30,0;93,0;72,7;90,0;31,5
1532646;24,5;10;19,5;92,5;68,2;42,5;33,5
1537790;33,5;50;26,0;100,0;95,9;95,0;34,5
1545124;41,0;88;38,0;95,0;77,8;100,0;44,5
1633342;32,5;56;37,0;90,0;69,6;100,0;45,0
1577343;18,5;20;8,5;0,0;48,2;22,5;19,5
1685828;28,5;30;22,0;90,0;92,7;100,0;36,5
1524390;37,0;84;26,5;90,0;72,9;95,0;32,0
1576916;33,5;60;22,0;90,0;100,8;62,5;32,5
1615951;32,5;80;33,5;100,0;72,3;85,0;41,0
1602162;35,0;50;29,0;90,0;72,0;47,5;25,5
1663703;23,0;34;19,0;26,3;99,9;80,0;31,5
1575507;22,5;14;20,0;30,0;85,9;45,0;34,5
1616592;22,5;68;16,0;56,3;99,3;65,0;21,0
1547168;34,0;10;15,5;90,0;100,6;55,0;29,5
1691199;39,0;80;34,0;100,0;96,9;95,0;42,0
1581732;27,5;44;21,5;42,5;41,8;47,5;22,5
1627960;25,0;0;5,5;0,0;20,2;0,0;11,5
1582083;23,5;10;6,0;32,5;29,2;17,5;13,0
1596933;34,5;60;30,0;75,0;74,7;95,0;40,0
1559169;32,5;80;34,5;97,5;75,7;100,0;48,5
1546302;22,5;30;16,0;36,3;69,2;62,5;26,0
1697922;25,0;16;10,5;25,0;55,1;52,5;25,0
1649020;22,5;30;16,5;35,0;98,5;80,0;38,0
1607848;31,0;60;25,5;90,0;63,2;90,0;41,0
1580189;19,0;0;0,0;0,0;0,0;0,0;
1595427;13,0;0;6,0;42,5;0,9;10,0;20,5
1633638;22,0;30;22,5;75,0;86,9;85,0;38,5
1665443;17,0;10;11,5;75,0;82,0;57,5;29,5
1663602;31,0;60;16,0;92,5;99,3;80,0;33,0
1548183;12,0;0;10,5;25,0;26,5;10,0;7,5
1503598;24,0;30;5,0;0,0;6,1;30,0;16,0
1518299;36,0;48;34,5;100,0;76,3;100,0;38,5
1686649;29,5;22;24,5;75,0;92,6;100,0;42,5
1514837;23,5;36;23,5;75,0;71,3;40,0;24,5
1662559;40,5;80;31,5;102,5;77,3;100,0;45,0
1598859;19,5;10;17,5;82,5;76,4;57,5;18,5
1608892;41,5;100;27,0;105,0;96,0;85,0;43,0
1574311;27,0;38;14,5;90,0;97,6;62,5;30,5
1645831;26,0;38;14,5;25,0;72,7;47,5;16,5
1534241;8,5;20;7,0;25,0;6,1;5,0;14,0
1695929;15,0;0;5,0;0,0;0,0;0,0;5,0
1512912;24,0;14;16,0;71,3;86,3;50,0;18,0
1661520;18,5;10;18,0;90,0;62,2;75,0;29,5
1508193;24,5;10;17,5;75,0;90,4;90,0;27,0
1526916;29,0;30;20,5;70,0;72,9;47,5;23,0
1631949;0,0;0;0,0;0,0;0,0;0,0;0,0
1685410;31,0;30;23,0;45,0;90,4;80,0;32,0
