id;class test 1;class test 2;exam
1162847;13,5;14,0;78,8
1209171;16,7;15,2;95,5
1161166;15,5;9,6;75,8
1191183;10,2;14,8;78,8
1288093;15,5;11,2;83,3
1232214;14,3;11,2;71,2
1211592;13,5;8,8;71,2
1202068;17,6;19,2;92,4
1240940;15,5;10,0;77,3
1118253;16,7;13,2;90,9
1150532;18,0;16,0;89,4
1288486;16,3;11,2;77,3
1177853;15,1;12,4;59,1
1248420;17,6;16,0;86,4
1167281;18,0;12,8;86,4
1256170;13,9;14,4;74,2
1138910;8,6;10,0;51,5
1235794;14,7;14,0;69,7
1173472;7,8;12,0;72,7
1257652;11,4;12,0;77,3
1258957;13,9;9,6;74,2
1254241;18,0;18,4;92,4
1225024;9,8;6,0;43,9
1131414;18,0;17,6;92,4
1171043;10,6;12,4;78,8
1239188;12,7;6,8;57,6
1184897;15,1;6,8;72,7
1291230;15,9;15,2;89,4
1111846;14,3;9,2;72,7
1127560;0,0;11,2;0,0
1254091;13,5;8,8;51,5
1126231;17,1;16,0;87,9
1256185;15,5;14,0;75,8
1194320;15,1;10,4;54,6
1178249;13,9;14,0;87,9
1177235;0,0;12,0;0,0
1269065;15,5;14,0;77,3
1213271;18,0;17,2;92,4
1214386;13,5;0,0;0,0
1159194;10,2;8,8;43,9
1262007;12,2;12,0;78,8
1202151;16,7;13,6;86,4
1261103;15,5;9,6;78,8
1262564;16,7;14,0;84,9
1225675;0,0;11,6;74,2
1116033;11,0;12,4;47,0
1223844;13,1;9,6;68,2
1125913;12,7;10,8;78,8
1183913;14,3;7,6;65,2
1248968;17,1;15,2;83,3
1171563;14,7;14,8;87,9
1101415;18,4;17,2;87,9
1182425;10,6;4,0;36,4
1219816;16,7;14,8;97,0
1127602;17,1;16,8;93,9
1102482;17,6;16,8;95,5
1136570;16,3;14,8;93,9
1254578;18,8;18,0;93,9
1164377;14,7;10,4;68,2
1200419;8,2;8,8;45,5
1254742;15,5;6,8;62,1
1125150;14,3;13,2;72,7
1225025;14,7;14,0;75,8
1232658;13,1;7,6;48,5
1276176;13,5;13,6;69,7
1228683;13,1;12,0;71,2
1299737;8,2;10,0;51,5
1164728;14,3;12,4;75,8
1224775;13,5;10,0;75,8
1160170;18,4;17,2;92,4
1229058;17,6;16,0;86,4
1234182;12,7;16,4;83,3
1109995;9,8;10,8;60,6
1116757;14,3;16,0;80,3
1221936;9,8;8,4;68,2
1257574;12,2;11,6;65,2
1114141;15,1;12,0;86,4
1169516;15,5;16,0;81,8
1261861;17,6;16,4;92,4
1186993;18,4;14,8;95,5
1261697;13,5;7,2;57,6
1139305;15,5;9,2;77,3
1232362;15,1;16,4;84,9
1138291;12,7;13,2;75,8
1293704;13,1;10,8;65,2
1247212;13,9;13,2;80,3
1281058;8,6;8,0;63,6
1133556;14,3;0,0;0,0
1288572;9,8;0,0;0,0
1113012;9,8;8,0;63,6
1165621;12,2;10,4;89,4
1240050;15,1;7,6;0,0
1228150;13,5;8,0;68,2
1191469;5,7;0,0;0,0
1142767;11,0;0,0;0,0
1194551;14,3;14,0;68,2
1217925;12,7;10,4;75,8
1279607;7,8;8,8;42,4
1122223;8,2;11,2;60,6
1124483;11,4;9,6;65,2
1181280;15,5;13,2;71,2
1199791;16,7;17,6;89,4
1276771;16,7;12,4;81,8
1211989;12,7;8,8;65,2
1279342;6,1;6,4;59,1
1131108;14,7;13,6;65,2
1287094;10,2;5,6;53,0
1273431;8,6;0,0;0,0
1114525;15,1;15,6;87,9
1240013;9,0;0,0;0,0
1165380;14,7;9,2;68,2
1156761;12,7;0,0;68,2
1134837;11,0;10,0;84,9
1207317;15,1;10,8;80,3
1229533;7,8;6,8;43,9
1238689;9,4;14,4;78,8
1210515;15,1;14,4;89,4
1133758;12,7;11,2;72,7
1130896;8,2;11,6;71,2
1258172;13,5;12,8;74,2
1219361;11,0;13,2;81,8
1289889;13,1;14,8;80,3
1193917;12,7;9,2;63,6
1211020;13,5;13,6;87,9
1195172;11,8;10,0;66,7
1143736;13,5;10,8;72,7
1109477;18,8;18,8;95,5
1286050;14,7;7,6;63,6
1247926;11,0;0,0;0,0
1111603;13,9;13,6;60,6
1125552;12,7;14,0;68,2
1137064;15,9;16,0;92,4
1232876;13,9;12,0;75,8
1132312;18,4;17,6;93,9
1217613;15,9;15,6;93,9
1286193;14,7;17,6;95,5
1190749;9,4;8,0;43,9
1112376;10,6;6,4;43,9
1253227;18,0;14,8;90,9
1104245;15,1;14,2;71,2
1263620;17,1;14,8;77,3
1154163;14,3;11,2;78,8
1271089;15,5;14,0;78,8
1279083;13,9;10,8;77,3
1181614;13,1;7,6;89,4
1117265;15,9;8,8;71,2
1170228;15,1;12,0;83,3
1294874;14,7;11,2;63,6
1149259;12,2;13,2;75,8
1253236;17,6;16,0;83,3
1161673;10,2;11,2;77,3
1117457;14,7;14,4;89,4
1222750;12,2;7,6;63,6
1116633;13,9;11,6;63,6
1250076;12,7;16,4;90,9
1214379;9,0;10,0;78,8
1212457;15,1;9,6;72,7
1122930;11,8;10,4;83,3
