id;class test 1;class test 2;exam
1224010;12,7;10,0;60,6
1145749;12,2;11,6;77,3
1221015;11,8;9,2;53,0
1181283;12,2;13,6;71,2
1212126;14,7;10,0;68,2
1117520;12,2;13,6;66,7
1282570;17,6;10,8;84,9
1238599;9,0;10,0;63,6
1168923;13,1;10,8;71,2
1123822;13,5;11,2;74,2
1165630;14,7;6,0;62,1
1144921;11,8;14,4;87,9
1186905;13,5;14,4;72,7
1120811;11,8;10,0;0,0
1176676;9,8;10,4;54,6
1154953;13,1;14,0;86,4
1146588;13,9;9,2;60,6
1112848;15,5;13,6;86,4
1235322;13,9;10,0;66,7
1106359;14,3;10,8;86,4
1297410;14,3;13,2;78,8
1185064;15,1;11,2;80,3
1281590;16,3;17,2;92,4
1242112;15,5;10,0;84,9
1289625;13,5;9,6;69,7
1239920;13,1;8,4;66,7
1232602;15,9;15,6;83,3
1119346;12,2;9,2;51,5
1246167;3,7;0,0;0,0
1259440;12,2;12,4;75,8
1210278;14,7;13,2;68,2
1201242;0,0;5,2;50,0
1237102;12,2;12,8;83,3
1230451;14,7;16,8;81,8
1265788;14,7;12,4;77,3
1243716;13,9;13,2;86,4
1271293;16,7;13,6;89,4
1169044;15,5;12,0;89,4
1205722;18,0;19,2;100,0
1132112;17,1;13,2;87,9
1125062;15,1;14,8;75,8
1120257;17,1;13,6;80,3
1214884;11,0;8,0;59,1
1118977;8,6;0,0;0,0
1164520;10,6;11,6;72,7
1166561;11,4;8,0;68,2
1147829;15,5;16,0;89,4
1177317;16,7;17,2;89,4
1157075;16,7;18,5;92,4
1258475;15,1;13,2;77,3
1283569;15,1;14,4;72,7
1252298;9,0;7,6;56,1
1259799;15,5;16,4;90,9
1112158;13,1;9,6;62,1
1132834;13,5;9,6;74,2
1292195;16,7;12,4;86,4
1271878;14,3;16,0;92,4
1138427;14,3;12,0;75,8
1105038;11,4;9,6;62,1
1196674;15,1;15,6;87,9
1197018;13,9;11,6;84,9
1118354;14,7;12,0;74,2
1261788;15,9;12,8;80,3
1292499;14,3;14,0;89,4
1211230;11,4;15,2;84,9
1155080;9,4;12,4;78,8
1156546;14,3;12,4;80,3
1104145;14,7;16,8;92,4
1284676;16,3;16,8;92,4
1100693;13,5;10,8;75,8
1176304;10,6;8,0;60,6
1187872;9,4;12,4;75,8
1257354;13,5;12,8;74,2
1149972;14,3;12,8;81,8
1277390;12,2;11,6;63,6
1199580;12,2;11,2;56,1
1134351;13,9;15,2;80,3
1277705;18,4;0,0;83,3
1266137;18,0;11,6;78,8
1122850;10,2;9,6;66,7
1143770;16,7;10,0;71,2
1149303;15,5;18,0;92,4
1172569;14,3;10,8;78,8
