Surname
Makgoatha
Sultan
Ntoi
Ntsoele
Komape
Mthembu
Mizrahi
Kajuna
Gcanga
Ntjana
Ntshwane
Zulu
Radebe
Aphane
Shongwe
Mugwena
Makeleni
Mbokazi
Nyembe
Mhlanga
Maseko
Carstens
Peters
Ngcayiya
Jingili
Ramnarain
Ledwaba
Hlomuka
Mothobi
Klug
Shongwe
Khanyile
Kamotho
Maepa
Khumalo
Van De Vyver
Motaoung
Mangera
Mogale
Monaisa
Molotsi
Mithagare
Khendle
Mqwebedu
Vikilahle
Shipiki
Monyela
Ndabambi
Van Der Spuy
Nekhumbe
Ramovha
Mhlongo
Madlala
Masilela
Matshisevhe
Mabuza
Crouch
Mogaki
Ramogale
Mofolo
Sekhoto
Charuma
Leseka
Makhubo
Makofane
Tshazi
Skosana
Mkhize
Mhlongo
Dube
Ndhlovu
Brand
Koko
Mogale
Sekgube
Bafoly
Madzivhandila
Kubheka
Gxagxa
Gule
Motswakae
Marubini
Mazid
Mkhondo
Dube
Madwe
Ramukosi
Mabaso
Rabopape
Nkosi
Mothabeng
Mazibuko
Shamu
Monema
Maraxaba
Letsholo
Mukatuni
Mopane
Gomes
Satekge
Thangavhuelelo
Mthimkhulu
Magadani
Buthelezi
Kgowana
Kruger
Sebothoma
Ngwane
Wookey
Patel
Maduna
Ngebhe
Mabidikama
Coka
Istain
Mazibuko
Magabane
Dlamini
Hlawe
Seretlo
Muller
Tshamano
Nzipo
Pillay
Khoza
Rahman
Nian
Tshabalala
Mguni
O'sullivan-hewlett
Plakas
Makhuvele
Mohlala
Mofokeng
Nkosi
Monkgelo
Rikhotso
Masindi
Luphahla
Sangweni
Varathaiah
Senoelo
Ravelle
Chauke
Govender
Khaile
Chezi
Madzima
Manga
Mlambo
Chuene
Seegobin
Suliman
Xiao
Beukman
Ayob
Paul
Chetty
Malatji
Wildenboer
Malinga
Alexander
Sorore
Polori
Bangie
Ballim
Mofomate
Mabetlela
Cajee
Moditambi
Mabunda
Musara
Reid
Mbeki
Budeli
Joannou
Ranamane
Twalo
Plaatjies
Akhalwaya
Mohalakane
Nundlall
Makhado
Pillay
Nhlapo
Brass
Nare
Moshoeshoe
Mafata
Reddy
Ndzala
Branga-peicu
Seabi
Le Forestier
Moodley
Tede
Ntshingila
Seduma
Mesgari
Nembahe
Shibambu
Masilo
Maluleke
Msibi
Nhose
Mzila
Mbara
Moyo
Haffejee
Madlokazi
Molefi
Mulabisani
Gani
Moipushi
Chaphole
Makgatho
Shoko
Thabethe
Vicente
Govender
Hlongwa
Mathebula
Irwin
Harris-Dewey
Wadaya
Makumbane
Mabunda
Katzen
Munyai
Govender
Mti
Moyo
Ismail
Mathebula
Kom
Bisnath
Mpofu
Balassis
Rantekane
Ahmed
Malatji
Brewer
Jagdew
Duda
Tilo
Ndukula
Mbangatha
Mudau
Rambaran
Alter
Greenhill
Phokane
Lemao
Kruger-baartjes
Pienaar
Modisha
Qebengu
Griffiths
Walters
Dlomo
Lukalanga
Malekutu
Moyo
Singh
Nobela
Roux
Bulbulia
Modise
Gore
Mojela
Sowunmi
Molefe
Gwili
Mpele
Ntintili
Mohlala
Seketa
Kobe
Somacala
Maleho
Nkuna
Axelrod
Quzwana
Mokgapa
Penyenye
Ratshivhanda
Mavimbela
Dube
Radebe
Minkase
Ngwenya
Mogowe
Khosa
Motlhale
Lutz
Bham
Kobela
Manzini
Mokoena
Bristow
Lamola
Motjelele
Moswedi
Govender
Smith
Mabunda
Ollewagen
Xaba
Nzimande
Mothibe
Manyaka
Tutja
Sithlu
Luvhengo
Morapedi
Hlungwane
Vallabh
Dladla
Ngobeni
Gaetsosiwe
Khwerana
Narothan
Wu
Ngcongolwana
Mohale
Mabaso
Kok
Sanderson
Malapela
Chirindza
Anastasopoulos
Mogalekwena
Mthembu
Kanyile
Mabuela
Maoba
Mmela
Dlamini
Letageng
Mgenge
Latakgomo
Ramphore
Peter
Raphala
Swartz
Leonard
Sam
Lerata
Qebengu
Noel
Khumalo
Shilakwe
Rengqe
Jannsen
Ragoonath
Ncube
Sesebula
Mdletshe
Dlamini
Mokabane
Peters
Nekhavhambe
Dias
Tsagae
Mabula
Mosotho
Molefe
Parkin
Mhlanga
Moeketsi
Molupe
Mohlala
Dlamini
Shortland
Fokazi
Osikoya
Luqhide
Ooka
Dlamini
Gumbo
Sibiya
Sikhwinyane
Olekantse
Nkabinde
Dubula
Thema
Dlamini
Klein
