id,class test 1,class test 2,exam
917780,79.0,71.0,68.5
1060475,85.5,89.0,82.0
990287,96.5,76.0,68.0
1017571,74.5,67.0,66.5
931020,81.5,82.5,66.5
927110,79.5,100.0,90.0
1079923,78.0,49.0,79.5
1040918,94.5,78.5,78.5
1055924,80.5,79.0,80.5
929923,66.5,53.5,67.0
928020,80.5,77.0,71.0
957785,76.5,59.0,48.5
997234,63.0,64.5,57.0
1056292,71.5,73.0,64.5
1071736,68.5,58.0,48.5
1082827,66.0,58.0,67.5
954186,62.0,55.5,43.5
1048823,87.0,87.0,79.0
900987,57.0,0.0,0.0
1085354,89.0,84.0,94.0
1041589,66.0,59.0,74.5
1083413,94.0,61.5,87.5
1005971,60.5,58.0,46.5
1056032,53.0,76.5,66.0
1052742,59.5,37.0,43.0
1075617,75.0,87.0,62.5
1047585,73.0,57.0,62.0
906672,93.0,85.0,61.5
1078553,75.0,0.0,48.5
1054107,56.0,67.0,66.0
1041146,88.5,86.0,82.5
971539,65.0,72.0,55.0
969397,80.5,66.0,78.5
980041,27.0,43.0,32.5
1012586,73.0,76.0,41.5
912551,81.5,78.0,61.5
955900,8.0,0.0,20.5
1060101,94.0,95.0,91.5
1012029,89.0,100.0,92.0
1091472,90.5,75.5,77.0
1095624,56.0,31.5,39.0
1025925,73.0,89.5,60.5
1045665,83.0,90.0,86.5
944555,78.5,93.0,73.5
967020,75.0,69.0,61.0
943674,78.5,92.0,58.0
929044,59.0,38.0,33.0
1083707,46.0,57.5,49.5
998507,74.0,37.0,41.0
991225,38.5,72.5,58.5
1046999,72.5,80.0,86.0
1045007,65.5,80.0,63.5
934841,77.0,95.0,84.5
993828,28.0,35.0,37.0
1025483,42.0,47.0,60.0
916241,59.5,65.0,57.0
1051266,81.5,75.0,64.0
1025196,92.0,76.5,71.5
934486,76.5,64.0,78.5
1096060,74.0,77.5,78.0
964716,70.0,73.5,84.0
1099969,57.0,48.0,53.0
1080673,78.0,71.0,65.0
998540,52.5,56.0,55.5
1097532,50.0,31.0,43.5
973931,33.0,43.0,64.0
1083510,60.5,62.0,43.0
975690,87.0,94.5,76.0
945303,44.5,58.5,41.0
1023266,50.0,60.5,44.0
1064870,43.0,20.0,67.0
1016275,68.0,85.0,64.0
984980,0.0,0.0,24.5
1036988,79.0,95.0,60.5
913368,73.0,64.5,60.0
1061278,50.0,80.0,42.0
1023193,61.0,64.5,55.5
933508,38.0,59.0,57.5
968069,99.0,92.0,92.0
971410,63.5,58.0,75.0
1045516,92.0,67.0,86.5
1012994,65.0,61.0,62.5
964144,73.0,79.5,58.5
918774,54.5,56.0,41.0
1018236,35.0,37.0,22.5
955597,85.0,66.0,60.5
1003155,75.0,61.0,68.0
924834,96.0,72.0,79.0
919178,89.5,66.0,74.0
955568,67.5,64.0,71.5
1081902,57.0,76.5,66.5
915621,67.0,37.5,52.0
1054464,55.0,70.5,52.5
958388,85.0,71.5,53.5
968103,93.0,78.0,78.5
1022261,78.5,85.0,32.0
920511,61.5,59.0,47.0
981145,73.2,82.0,73.5
1091802,75.0,80.0,73.5
1087286,77.0,77.0,71.0
922097,52.0,51.0,41.5
1093995,73.0,96.0,66.0
1094896,92.0,89.0,93.5
901196,74.5,77.0,55.0
1035082,69.0,80.0,67.0
971204,61.0,32.0,53.0
1030977,32.0,25.0,20.5
987104,56.0,52.0,72.5
996425,56.0,53.0,55.5
906590,64.0,64.0,52.0
1027569,53.0,42.5,41.5
1060816,54.0,45.5,68.5
1049453,85.5,65.0,40.5
1024261,81.0,73.0,57.0
945888,69.0,72.0,80.5
1074786,89.0,68.5,76.5
1035555,94.0,91.5,84.5
1060071,37.5,47.0,60.5
1016882,54.0,23.0,53.5
990135,79.0,70.0,64.0
958744,91.0,77.0,83.0
1098418,68.5,79.0,67.5
1052723,64.0,6.0,35.0
927175,85.0,59.0,63.0
1034616,83.0,54.0,68.5
1047861,70.5,76.5,58.0
1038592,90.0,84.0,92.0
917980,87.0,80.0,88.0
931356,47.5,6.0,29.5
926071,75.0,78.0,51.5
1075064,56.0,51.5,43.5
999371,82.0,78.0,78.5
1013505,61.5,78.5,71.0
1057400,65.5,77.0,54.0
997803,83.5,56.5,76.5
1072862,100.0,99.0,100.0
931974,63.0,74.0,77.5
935913,65.0,81.0,55.5
994956,63.5,66.0,39.5
1066559,22.0,49.0,53.5
1045259,39.5,0.0,78.0
1059492,96.0,90.0,89.0
961127,0.0,21.0,0.0
1022711,43.0,56.0,42.0
916393,89.0,81.0,89.5
1062250,24.5,0.0,25.5
1055262,69.0,55.0,53.0
904034,80.0,41.0,57.5
903294,49.0,49.5,47.5
